transaction_id,timestamp,room,severity,anomaly_score,violated_count,applicable_count,top_violated_rule
44625,2018-07-29 01:13:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44626,2018-07-29 01:13:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44637,2018-07-29 01:13:30,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44645,2018-07-29 01:13:40,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44657,2018-07-29 01:13:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44658,2018-07-29 01:13:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44669,2018-07-29 01:14:00,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44677,2018-07-29 01:14:10,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44689,2018-07-29 01:14:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44690,2018-07-29 01:14:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44701,2018-07-29 01:14:30,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44709,2018-07-29 01:14:40,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44721,2018-07-29 01:14:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44722,2018-07-29 01:14:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44733,2018-07-29 01:15:00,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44741,2018-07-29 01:15:10,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44753,2018-07-29 01:15:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44754,2018-07-29 01:15:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44765,2018-07-29 01:15:30,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44773,2018-07-29 01:15:40,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44785,2018-07-29 01:15:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44786,2018-07-29 01:15:50,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44797,2018-07-29 01:16:00,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44805,2018-07-29 01:16:10,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44817,2018-07-29 01:16:20,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44818,2018-07-29 01:16:20,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44829,2018-07-29 01:16:30,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44837,2018-07-29 01:16:40,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44849,2018-07-29 01:16:50,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44850,2018-07-29 01:16:50,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44861,2018-07-29 01:17:00,A21,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
44869,2018-07-29 01:17:10,A21,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
44881,2018-07-29 01:17:20,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
44901,2018-07-29 01:17:40,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
44913,2018-07-29 01:17:50,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
44933,2018-07-29 01:18:10,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
44945,2018-07-29 01:18:20,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
44965,2018-07-29 01:18:40,A21,MEDIUM,0.6609,2,3,"[AT_SETPOINT & TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.978, sup=0.219)"
48812,2018-07-29 02:18:50,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48826,2018-07-29 02:19:00,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48834,2018-07-29 02:19:10,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48843,2018-07-29 02:19:20,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48844,2018-07-29 02:19:20,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48858,2018-07-29 02:19:30,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48866,2018-07-29 02:19:40,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48875,2018-07-29 02:19:50,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48876,2018-07-29 02:19:50,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48890,2018-07-29 02:20:00,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48898,2018-07-29 02:20:10,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48907,2018-07-29 02:20:20,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48908,2018-07-29 02:20:20,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48922,2018-07-29 02:20:30,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48930,2018-07-29 02:20:40,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48939,2018-07-29 02:20:50,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48940,2018-07-29 02:20:50,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48954,2018-07-29 02:21:00,A12,LOW,0.3309,1,3,"[TEMP_COLD & TEMP_STABLE] -> [AT_SETPOINT & HEATER_OFF] (conf=0.964, sup=0.219)"
48962,2018-07-29 02:21:10,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
48971,2018-07-29 02:21:20,A12,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
